연번,노선명,역명,엘리베이터,에스컬레이터,휠체어리프트
182,경인선,도원역사,2,2,0
183,경인선,도화역사,4,4,0
184,경인선,동암역사,3,4,0
185,경인선,동인천역사,4,5,2
186,경인선,백운역사,4,8,0
187,경인선,부개역사,4,8,0
188,경인선,부평역사,4,2,0
189,경인선,인천역사,4,12,0
190,경인선,제물포역사,4,4,0
191,경인선,주안역사,6,6,0
192,경인선,오류동역사,4,8,0
193,과천선,경마공원역사,4,6,0
194,과천선,과천역사,5,16,0
195,과천선,대공원역사,3,6,0
196,과천선,범계역사,3,12,2
197,과천선,선바위역사,4,6,0
198,과천선,인덕원역사,5,16,0
199,과천선,정부과천청사역사,5,8,0
200,과천선,평촌역사,3,16,0
201,남부화물기지선,오봉역사,0,0,0
202,병점기지선,서동탄역사,2,4,0
203,분당선,가천대역사,4,11,0
204,분당선,강남구청역사,10,23,0
205,분당선,개포동역사,3,8,4
206,분당선,대모산입구역사,4,8,3
207,분당선,도곡역사,4,20,3
208,분당선,구룡역사,3,16,0
209,분당선,모란역사,2,12,5
210,분당선,복정역사,0,2,0
211,분당선,서울숲역사,4,16,0
212,분당선,선릉역사,4,20,0
213,분당선,선정릉역사,4,31,0
214,분당선,수서역사,2,8,3
215,분당선,압구정로데오역사,4,20,0
216,분당선,야탑역사,4,4,0
217,분당선,이매역사,13,23,1
218,분당선,태평역사,4,8,2
219,분당선,한티역사,4,18,3
220,분당선,야목역사,3,6,0
221,분당선,구성역사,4,14,0
222,분당선,기흥역사,8,15,0
223,분당선,망포역사,4,14,0
224,분당선,매교역사,4,21,0
225,분당선,매탄권선역사,4,20,0
226,분당선,미금역사,3,8,0
227,분당선,보정역사,4,18,0
228,분당선,상갈역사,4,16,0
229,분당선,서현역사,3,4,0
230,분당선,수내역사,3,8,0
231,분당선,수원시청역사,4,18,0
232,분당선,신갈역사,4,22,0
233,분당선,영통역사,4,14,0
234,분당선,오리역사,3,12,0
235,분당선,정자역사,4,12,0
236,분당선,죽전역사,3,4,0
237,분당선,청명역사,5,20,0
238,서해선,소새울역사,0,0,0
239,서해선,시흥능곡역사,0,0,0
240,서해선,시흥대야역사,0,0,0
241,서해선,시흥시청역사,0,0,0
242,서해선,신천역사,0,0,0
243,서해선,신현역사,0,0,0
244,서해선,달미역사,0,0,0
245,서해선,선부역사,0,0,0
246,서해선,시우역사,0,0,0
247,서해선,원시역사,0,0,0
248,수인분당선,고색역사,3,10,0
249,수인분당선,어천역사,2,4,0
250,수인분당선,오목천역사,3,11,0
251,수인분당선,사리역사,4,8,0
252,수인선,남동인더스파크역사,2,4,0
253,수인선,달월역사,2,4,1
254,수인선,소래포구역사,2,12,0
255,수인선,송도역사,3,6,0
256,수인선,숭의역사,4,16,0
257,수인선,신포역사,4,15,0
258,수인선,연수역사,8,11,0
259,수인선,원인재역사,3,10,0
260,수인선,월곶역사,2,4,0
261,수인선,인천논현역사,4,12,0
262,수인선,인하대역사,4,20,0
263,수인선,호구포역사,2,4,0
264,안산선,고잔역사,2,2,0
265,안산선,대야미역사,2,4,0
266,안산선,반월역사,3,6,0
267,안산선,산본역사,1,8,2
268,안산선,상록수역사,2,4,0
269,안산선,수리산역사,4,6,0
270,안산선,신길온천역사,0,0,0
271,안산선,안산역사,2,4,1
